age,zipcode,income
47,02128,99856
36,02123,69523
51,02131,117562
43,02128,88965
38,02123,75632
49,02131,105632
37,02128,71236
45,02123,94562
54,02131,132568
42,02128,85632
