schoolname,latitude,longitude,address,city,zip,percentasian,percentblack,percenthispanic,percentblackhispanic,percentwhite
CANARSIE ASCEND CHARTER SCHOOL,40.644209,-73.900824,"9719 FLATLANDS AVE BROOKLYN, NY 11236",BROOKLYN,11236,0%,91%,6%,97%,0%
EAST HARLEM SCHOLARS ACADEMY CHARTER SCHOOL II,40.793747,-73.948572,"1573 MADISON AVE-RM 320 NEW YORK, NY 10029",NEW YORK,10029,4%,28%,63%,92%,3%
SUCCESS ACADEMY HELL'S KITCHEN (MANHATTAN 2),40.763999,-73.990835,"439 W 49TH ST-2ND FL NEW YORK, NY 10019",NEW YORK,10019,14%,16%,52%,68%,16%
SUCCESS ACADEMY UNION SQUARE (MANHATTAN 1),40.735324,-73.987081,"40 IRVING PL-2ND FL NEW YORK, NY 10003",NEW YORK,10003,19%,20%,21%,41%,35%
HARLEM HEBREW LANGUAGE CHARTER SCHOOL,40.804844,-73.953075,"147 ST NICHOLAS AVE NEW YORK, NY 10026",NEW YORK,10026,1%,32%,30%,62%,34%
SOUTH BRONX CLASSICAL CHARTER SCHOOL II,40.808255,-73.925748,"333 E 135TH ST BRONX, NY 10454",BRONX,10454,0%,45%,52%,97%,2%
SUCCESS ACADEMY CHARTER SCHOOL - BRONX 3,40.827748,-73.913773,"1000 TELLER AVE BRONX, NY 10469",BRONX,10469,1%,51%,45%,96%,1%
BRILLA COLLEGE PREP CHARTER SCHOOL,40.812806,-73.919302,"413 E 144TH ST BRONX, NY 10454",BRONX,10454,0%,26%,71%,97%,1%
ATMOSPHERE CHARTER SCHOOL,40.875134,-73.910245,"22 MARBLE HILL AVE BRONX, NY 10463",BRONX,10463,2%,21%,73%,94%,4%
SOUTH BRONX EARLY COLLEGE ACADEMY CHARTER SCHOOL,40.808913,-73.921746,"423 E 138TH ST-7TH FL BRONX, NY 10454",BRONX,10454,0%,34%,63%,97%,1%
NEW DIRECTIONS SECONDARY SCHOOL,40.839654,-73.911386,"240 E 172ND ST BRONX, NY 10457",BRONX,10457,0%,30%,67%,98%,0%
GLOBAL COMMUNITY CHARTER SCHOOL,40.817192,-73.935438,"2350 5TH AVE NEW YORK, NY 10037",NEW YORK,10037,1%,28%,69%,97%,1%
ORCHARD COLLEGIATE ACADEMY,40.713343,-73.986069,"220 HENRY ST NEW YORK, NY 10002",NEW YORK,10002,12%,26%,57%,84%,3%
P.S. 306 ETHAN ALLEN,40.655261,-73.886334,"970 VERMONT ST BROOKLYN, NY 11207",BROOKLYN,11207,1%,74%,23%,98%,1%
THE NEW AMERICAN ACADEMY AT ROBERTO CLEMENTE STATE PARK,40.841563,-73.929604,"275 HARLEM RIVER PARK BRIDGE BRONX, NY 10453",BRONX,10453,0%,39%,59%,98%,1%
P.S. 287 BAILEY K. ASHFORD,40.697861,-73.981047,"50 NAVY ST BROOKLYN, NY 11201",BROOKLYN,11201,5%,70%,22%,91%,1%
DIGITAL ARTS AND CINEMA TECHNOLOGY HIGH SCHOOL,40.685159,-73.993634,"284 BALTIC ST BROOKLYN, NY 11201",BROOKLYN,11201,3%,54%,39%,93%,4%
CHRISTOPHER AVENUE COMMUNITY SCHOOL,40.672333,-73.906225,"51 CHRISTOPHER AVE BROOKLYN, NY 11212",BROOKLYN,11212,0%,69%,29%,97%,1%
P.S. 256 BENJAMIN BANNEKER,40.690482,-73.94971,"114 KOSCIUSKO ST BROOKLYN, NY 11216",BROOKLYN,11216,2%,69%,27%,96%,2%
P.S. 328 PHYLLIS WHEATLEY,40.667817,-73.898173,"330 ALABAMA AVE BROOKLYN, NY 11207",BROOKLYN,11207,2%,57%,37%,94%,3%
P.S. 38 ROBERTO CLEMENTE,40.788684,-73.944766,"232 E 103RD ST NEW YORK, NY 10029",NEW YORK,10029,4%,31%,61%,91%,2%
P.S. 190 SHEFFIELD,40.662265,-73.894749,"590 SHEFFIELD AVE BROOKLYN, NY 11207",BROOKLYN,11207,1%,77%,22%,98%,1%
P.S. 165 IDA POSNER,40.657196,-73.910944,"76 LOTT AVE BROOKLYN, NY 11212",BROOKLYN,11212,0%,83%,14%,97%,2%
P.S. 050 VITO MARCANTONIO,40.785868,-73.940587,"433 E 100TH ST NEW YORK, NY 10029",NEW YORK,10029,1%,45%,53%,98%,0%
P.S. 123 MAHALIA JACKSON,40.820192,-73.944457,"301 W 140TH ST NEW YORK, NY 10030",NEW YORK,10030,2%,52%,41%,93%,4%
P.S. 065 MOTHER HALE ACADEMY,40.807731,-73.912768,"677 E 141ST ST BRONX, NY 10454",BRONX,10454,3%,32%,64%,96%,1%
M.S. 302 LUISA DESSUS CRUZ,40.815971,-73.901686,"681 KELLY ST BRONX, NY 10455",BRONX,10455,1%,20%,77%,98%,1%
EAST BRONX ACADEMY FOR THE FUTURE,40.836839,-73.887671,"1716 SOUTHERN BLVD BRONX, NY 10460",BRONX,10460,1%,26%,72%,98%,1%
P.S. 202 ERNEST S. JENKYNS,40.666256,-73.876405,"982 HEGEMAN AVE BROOKLYN, NY 11208",BROOKLYN,11208,1%,61%,35%,96%,2%
P.S. 184 NEWPORT,40.660228,-73.904947,"273 NEWPORT ST BROOKLYN, NY 11212",BROOKLYN,11212,1%,71%,27%,98%,0%
P.S./M.S 042 R. VERNAM,40.594435,-73.794945,"488 BEACH 66TH ST ARVERNE, NY 11692",ARVERNE,11692,1%,71%,24%,95%,2%
EAGLE ACADEMY FOR YOUNG MEN OF HARLEM,40.817282,-73.947238,"6 EDGECOMBE AVE NEW YORK, NY 10030",NEW YORK,10030,0%,74%,24%,98%,1%
P.S. 194 COUNTEE CULLEN,40.821182,-73.940665,"244 W 144TH ST NEW YORK, NY 10030",NEW YORK,10030,2%,52%,40%,92%,3%
P.S. 197 JOHN B. RUSSWURM,40.813298,-73.937828,"2230 5TH AVE NEW YORK, NY 10037",NEW YORK,10037,0%,62%,33%,95%,3%
SATELLITE EAST MIDDLE SCHOOL,40.685945,-73.945303,"344 MONROE ST BROOKLYN, NY 11216",BROOKLYN,11216,17%,65%,14%,78%,2%
SATELLITE WEST MIDDLE SCHOOL,40.701781,-73.981587,"209 YORK ST BROOKLYN, NY 11201",BROOKLYN,11201,4%,42%,52%,94%,0%
P.S. 191 PAUL ROBESON,40.671812,-73.924196,"1600 PARK PL BROOKLYN, NY 11233",BROOKLYN,11233,1%,80%,17%,97%,0%
P.S. 327 DR. ROSE B. ENGLISH,40.66798,-73.912085,"111 BRISTOL ST BROOKLYN, NY 11212",BROOKLYN,11212,2%,71%,25%,96%,2%
P.S. 200- THE JAMES MCCUNE SMITH SCHOOL,40.823955,-73.935802,"2589 7TH AVE NEW YORK, NY 10039",NEW YORK,10039,0%,54%,40%,94%,2%
P.S. 333 - THE MUSEUM SCHOOL,40.820082,-73.898647,"888 REV J A POLITE AVE BRONX, NY 10459",BRONX,10459,0%,20%,77%,97%,2%
LEADERS OF TOMORROW,40.880634,-73.860155,"3710 BARNES AVE BRONX, NY 10467",BRONX,10467,4%,50%,40%,90%,3%
THE SCHOOL OF SCIENCE AND APPLIED LEARNING,40.84624,-73.887388,"2050 PROSPECT AVE BRONX, NY 10457",BRONX,10457,0%,39%,59%,98%,1%
"M.S. 267 MATH, SCIENCE & TECHNOLOGY",40.687938,-73.932378,"800 GATES AVE BROOKLYN, NY 11221",BROOKLYN,11221,2%,63%,25%,87%,3%
P.S. 398 WALTER WEAVER,40.663966,-73.927858,"60 E 94TH ST BROOKLYN, NY 11212",BROOKLYN,11212,1%,73%,12%,85%,1%
P.S. 288 THE SHIRLEY TANYHILL,40.57427,-73.992477,"2950 W 25TH ST BROOKLYN, NY 11224",BROOKLYN,11224,2%,53%,36%,90%,7%
P.S. 178 SAINT CLAIR MCKELWAY,40.675234,-73.915306,"2163 DEAN ST BROOKLYN, NY 11233",BROOKLYN,11233,1%,79%,16%,95%,2%
M.S. 301 PAUL L. DUNBAR,40.822303,-73.906686,"890 CAULDWELL AVE BRONX, NY 10456",BRONX,10456,0%,41%,57%,98%,1%
BRONX WRITING ACADEMY,40.832278,-73.914142,"270 E 167TH ST BRONX, NY 10456",BRONX,10456,3%,30%,66%,95%,1%
P.S. 006 WEST FARMS,40.840605,-73.88219,"1000 E TREMONT AVE BRONX, NY 10460",BRONX,10460,1%,25%,72%,97%,1%
P.S. 111 JACOB BLACKWELL,40.75855,-73.939237,"37-15 13TH ST LONG ISLAND CITY, NY 11101",LONG ISLAND CITY,11101,4%,41%,48%,89%,6%
P.S. 036 MARGARET DOUGLAS,40.810705,-73.957404,"123 MORNINGSIDE DR NEW YORK, NY 10027",NEW YORK,10027,1%,45%,51%,97%,1%
P.S./M.S. 004 CROTONA PARK WEST,40.841242,-73.898492,"1701 FULTON AVE BRONX, NY 10457",BRONX,10457,1%,53%,45%,98%,1%
P.S. 132 GARRET A. MORGAN,40.832081,-73.906951,"1245 WASHINGTON AVE BRONX, NY 10456",BRONX,10456,0%,44%,54%,98%,0%
P.S. 112 BRONXWOOD,40.884792,-73.843995,"1925 SCHEIFFELIN AVE BRONX, NY 10466",BRONX,10466,0%,48%,50%,98%,2%
P.S. 046 EDWARD C. BLUM,40.694425,-73.971627,"100 CLERMONT AVE BROOKLYN, NY 11205",BROOKLYN,11205,1%,50%,45%,95%,2%
P.S. 270 JOHANN DEKALB,40.689626,-73.961094,"241 EMERSON PL BROOKLYN, NY 11205",BROOKLYN,11205,4%,68%,24%,93%,1%
P.S. 305 DR. PETER RAY,40.685945,-73.945303,"344 MONROE ST BROOKLYN, NY 11216",BROOKLYN,11216,4%,76%,11%,87%,4%
P.S. 308 CLARA CARDWELL,40.688447,-73.935295,"616 QUINCY ST BROOKLYN, NY 11221",BROOKLYN,11221,2%,78%,19%,96%,0%
MOTT HALL IV,40.678113,-73.915211,"1137 HERKIMER ST BROOKLYN, NY 11233",BROOKLYN,11233,2%,87%,12%,98%,0%
M.S. 328 - MANHATTAN MIDDLE SCHOOL FOR SCIENTIFIC INQUIRY,40.836912,-73.937412,"401 W 164TH ST NEW YORK, NY 10032",NEW YORK,10032,1%,12%,85%,97%,1%
P.S. 107,40.818887,-73.868609,"1695 SEWARD AVE BRONX, NY 10473",BRONX,10473,1%,32%,64%,96%,3%
P.S. 058,40.846275,-73.898878,"459 E 176TH ST BRONX, NY 10457",BRONX,10457,0%,26%,71%,97%,1%
J.H.S. 145 ARTURO TOSCANINI,40.827748,-73.913773,"1000 TELLER AVE BRONX, NY 10456",BRONX,10456,1%,29%,69%,98%,0%
P.S. 297 ABRAHAM STOCKTON,40.697436,-73.947854,"700 PARK AVE BROOKLYN, NY 11206",BROOKLYN,11206,1%,44%,51%,95%,1%
HIGHLAND PARK COMMUNITY SCHOOL,40.685841,-73.869429,"528 RIDGEWOOD AVE BROOKLYN, NY 11208",BROOKLYN,11208,2%,17%,78%,96%,0%
P.S./I.S. 137 RACHEL JEAN MITCHELL,40.682247,-73.916696,"121 SARATOGA AVE BROOKLYN, NY 11233",BROOKLYN,11233,0%,74%,20%,94%,1%
P.S./ I.S. 155 NICHOLAS HERKIMER,40.677642,-73.908695,"1355 HERKIMER ST BROOKLYN, NY 11233",BROOKLYN,11233,2%,50%,46%,96%,1%
LIGHTHOUSE ELEMENTARY SCHOOL,40.594681,-73.767108,"180 BEACH 35TH ST FAR ROCKAWAY, NY 11691",FAR ROCKAWAY,11691,1%,67%,27%,94%,2%
P.S. 183 DR. RICHARD R. GREEN,40.588936,-73.805282,"2-45 BEACH 79TH ST ROCKAWAY BEACH, NY 11693",ROCKAWAY BEACH,11693,3%,53%,33%,87%,6%
P.S. 076 A. PHILIP RANDOLPH,40.806541,-73.951368,"220 W 121ST ST NEW YORK, NY 10027",NEW YORK,10027,1%,80%,16%,96%,3%
URBAN ASSEMBLY ACADEMY FOR FUTURE LEADERS,40.815745,-73.9556,"509 W 129TH ST NEW YORK, NY 10027",NEW YORK,10027,0%,59%,39%,98%,1%
P.S. 138 SAMUEL RANDALL,40.822374,-73.852831,"2060 LAFAYETTE AVE BRONX, NY 10473",BRONX,10473,2%,26%,70%,95%,1%
P.S. 053 BASHEER QUISIM,40.832774,-73.911831,"360 E 168TH ST BRONX, NY 10456",BRONX,10456,1%,33%,64%,97%,2%
I.S. 313 SCHOOL OF LEADERSHIP DEVELOPMENT,40.840589,-73.90454,"1600 WEBSTER AVE BRONX, NY 10457",BRONX,10457,1%,32%,67%,99%,0%
P.S. 057 CRESCENT,40.848711,-73.888912,"2111 CROTONA AVE BRONX, NY 10457",BRONX,10457,0%,24%,71%,95%,1%
P.S. 092 BRONX,40.846335,-73.889323,"700 E 179TH ST BRONX, NY 10457",BRONX,10457,1%,19%,77%,96%,1%
URBAN ASSEMBLY SCHOOL FOR WILDLIFE CONSERVATION,40.843884,-73.884317,"2024 MOHEGAN AVE BRONX, NY 10460",BRONX,10460,1%,27%,69%,96%,2%
P.S. 054 SAMUEL C. BARNES,40.692697,-73.952501,"195 SANFORD ST BROOKLYN, NY 11205",BROOKLYN,11205,4%,57%,37%,93%,0%
P.S. 023 CARTER G. WOODSON,40.694156,-73.94779,"545 WILLOUGHBY AVE BROOKLYN, NY 11206",BROOKLYN,11206,1%,48%,46%,95%,3%
P.S. 059 WILLIAM FLOYD,40.697704,-73.943342,"211 THROOP AVE BROOKLYN, NY 11206",BROOKLYN,11206,1%,45%,50%,95%,2%
DR. JACQUELINE PEEK-DAVIS SCHOOL,40.673118,-73.920067,"430 HOWARD AVE BROOKLYN, NY 11233",BROOKLYN,11233,1%,78%,19%,97%,2%
P.S. 272 CURTIS ESTABROOK,40.626334,-73.900586,"101-24 SEAVIEW AVE BROOKLYN, NY 11236",BROOKLYN,11236,3%,76%,15%,91%,3%
P.S. 041 FRANCIS WHITE,40.660182,-73.906873,"411 THATFORD AVE BROOKLYN, NY 11212",BROOKLYN,11212,1%,63%,32%,95%,1%
P.S. 298 DR. BETTY SHABAZZ,40.671012,-73.90774,"85 WATKINS ST BROOKLYN, NY 11212",BROOKLYN,11212,1%,66%,28%,94%,1%
BROWNSVILLE COLLABORATIVE MIDDLE SCHOOL,40.671012,-73.90774,"85 WATKINS ST BROOKLYN, NY 11212",BROOKLYN,11212,0%,63%,33%,96%,2%
P.S. 157 GROVE HILL,40.819262,-73.909065,"757 CAULDWELL AVE BRONX, NY 10456",BRONX,10456,0%,30%,69%,99%,0%
P.S. 073 BRONX,40.83262,-73.926485,"1020 ANDERSON AVE BRONX, NY 10452",BRONX,10452,0%,25%,74%,99%,1%
RED HOOK NEIGHBORHOOD SCHOOL,40.677847,-74.004818,"27 HUNTINGTON ST BROOKLYN, NY 11231",BROOKLYN,11231,1%,49%,45%,94%,3%
M.S. 584,40.674464,-73.928381,"130 ROCHESTER AVE BROOKLYN, NY 11213",BROOKLYN,11213,1%,74%,23%,97%,0%
P.S. 289 GEORGE V. BROWER,40.67424,-73.9424,"900 ST MARKS AVE BROOKLYN, NY 11213",BROOKLYN,11213,3%,73%,19%,92%,2%
P.S. 213 NEW LOTS,40.660048,-73.890219,"580 HEGEMAN AVE BROOKLYN, NY 11207",BROOKLYN,11207,1%,76%,21%,96%,3%
J.H.S. 218 JAMES P. SINNOTT,40.670064,-73.874556,"370 FOUNTAIN AVE BROOKLYN, NY 11208",BROOKLYN,11208,20%,36%,43%,79%,1%
BROOKLYN GARDENS ELEMENTARY SCHOOL,40.665557,-73.897641,"574 DUMONT AVE BROOKLYN, NY 11207",BROOKLYN,11207,0%,63%,34%,97%,2%
P.S. 031 WILLIAM T. DAVIS,40.641954,-74.085457,"55 LAYTON AVE STATEN ISLAND, NY 10301",STATEN ISLAND,10301,0%,52%,39%,91%,4%
P.S. 78,40.622418,-74.079229,"100 TOMPKINS AVE STATEN ISLAND, NY 10304",STATEN ISLAND,10304,3%,42%,49%,91%,5%
P.S. 030 HERNANDEZ/HUGHES,40.805584,-73.935484,"144-176 E 128TH ST NEW YORK, NY 10035",NEW YORK,10035,2%,47%,47%,94%,3%
P.S. 030 WILTON,40.809065,-73.91752,"510 E 141ST ST BRONX, NY 10454",BRONX,10454,2%,21%,75%,96%,2%
P.S. X140 THE EAGLE SCHOOL,40.823374,-73.907378,"916 EAGLE AVE BRONX, NY 10456",BRONX,10456,0%,35%,61%,96%,2%
THE BRONX MATHEMATICS PREPARATORY SCHOOL,40.815017,-73.856018,"456 WHITE PLAINS RD BRONX, NY 10473",BRONX,10473,2%,33%,63%,97%,0%
P.S. 9 RYER AVENUE ELEMENTARY SCHOOL,40.856803,-73.898907,"230 E 183RD ST BRONX, NY 10458",BRONX,10458,1%,16%,80%,96%,1%
P.S. 044 DAVID C. FARRAGUT,40.842605,-73.890915,"1825 PROSPECT AVE BRONX, NY 10457",BRONX,10457,0%,31%,68%,98%,1%
ACCION ACADEMY,40.842605,-73.890915,"1825 PROSPECT AVE BRONX, NY 10457",BRONX,10457,2%,25%,69%,95%,3%
J.H.S. 050 JOHN D. WELLS,40.711863,-73.960049,"183 S 3RD ST BROOKLYN, NY 11211",BROOKLYN,11211,1%,14%,82%,96%,3%
P.S. 243K- THE WEEKSVILLE SCHOOL,40.675732,-73.935082,"1580 DEAN ST BROOKLYN, NY 11213",BROOKLYN,11213,4%,70%,22%,92%,0%
P.S. 149 DANNY KAYE,40.669352,-73.89276,"700 SUTTER AVE BROOKLYN, NY 11207",BROOKLYN,11207,3%,63%,32%,96%,1%
P.S. 188 MICHAEL E. BERDY,40.576776,-74.000539,"3314 NEPTUNE AVE BROOKLYN, NY 11224",BROOKLYN,11224,4%,51%,35%,86%,9%
P.S. 156 WAVERLY,40.665297,-73.917884,"104 SUTTER AVE BROOKLYN, NY 11212",BROOKLYN,11212,1%,78%,19%,97%,1%
"THE GREGORY JOCKO JACKSON SCHOOL OF SPORTS, ART, AND TECHNOLOGY",40.666934,-73.90761,"213 OSBORN ST BROOKLYN, NY 11212",BROOKLYN,11212,0%,69%,30%,99%,1%
CATHERINE & COUNT BASIE MIDDLE SCHOOL 72,40.675061,-73.77561,"133-25 GUY R BREWER BLVD JAMAICA, NY 11434",JAMAICA,11434,12%,72%,12%,83%,0%
P.S. 046 ARTHUR TAPPAN,40.831496,-73.936154,"2987 FREDERICK DOUGLAS BLVD NEW YORK, NY 10039",NEW YORK,10039,1%,50%,48%,97%,1%
P.S. 175 HENRY H GARNET,40.814259,-73.942662,"175 W 134TH ST NEW YORK, NY 10030",NEW YORK,10030,2%,64%,30%,93%,4%
P.S./M.S. 031 THE WILLIAM LLOYD GARRISON,40.822539,-73.921487,"250 E 156TH ST BRONX, NY 10451",BRONX,10451,2%,27%,69%,96%,1%
J.H.S. 162 LOLA RODRIGUEZ DE TIO,40.814702,-73.912036,"600 ST ANNS AVE BRONX, NY 10455",BRONX,10455,1%,29%,70%,99%,1%
P.S. 063 AUTHOR'S ACADEMY,40.830895,-73.902386,"1260 FRANKLIN AVE BRONX, NY 10456",BRONX,10456,0%,36%,61%,97%,3%
I.S. 117 JOSEPH H. WADE,40.848521,-73.908447,"1865 MORRIS AVE BRONX, NY 10453",BRONX,10453,2%,17%,80%,97%,1%
P.S. 021 PHILIP H. SHERIDAN,40.88794,-73.859406,"715 E 225TH ST BRONX, NY 10466",BRONX,10466,1%,70%,24%,94%,1%
P.S. 041 GUN HILL ROAD,40.874682,-73.867877,"3352 OLINVILLE AVE BRONX, NY 10467",BRONX,10467,1%,53%,43%,96%,2%
NORTH BRONX SCHOOL OF EMPOWERMENT,40.880634,-73.860155,"3710 BARNES AVE BRONX, NY 10467",BRONX,10467,3%,58%,33%,92%,1%
P.S. 093 WILLIAM H. PRESCOTT,40.678907,-73.9465,"31 NEW YORK AVE BROOKLYN, NY 11216",BROOKLYN,11216,22%,70%,3%,73%,4%
LYONS COMMUNITY SCHOOL,40.709765,-73.944519,"223 GRAHAM AVE BROOKLYN, NY 11206",BROOKLYN,11206,1%,40%,56%,97%,1%
P.S. 005 DR. RONALD MCNAIR,40.685603,-73.923212,"820 HANCOCK ST BROOKLYN, NY 11233",BROOKLYN,11233,0%,81%,14%,95%,3%
P.S. 025 EUBIE BLAKE SCHOOL,40.691477,-73.940691,"787 LAFAYETTE AVE BROOKLYN, NY 11221",BROOKLYN,11221,4%,65%,28%,93%,1%
P.S. 026 JESSE OWENS,40.691976,-73.931488,"1014 LAFAYETTE AVE BROOKLYN, NY 11221",BROOKLYN,11221,1%,72%,25%,98%,1%
P.S. 158 WARWICK,40.672588,-73.885197,"400 ASHFORD ST BROOKLYN, NY 11207",BROOKLYN,11207,1%,55%,41%,96%,0%
ACADEMY FOR YOUNG WRITERS,40.6573,-73.874138,"1065 ELTON ST BROOKLYN, NY 11208",BROOKLYN,11208,1%,72%,24%,97%,1%
M.S. 256 ACADEMIC & ATHLETIC EXCELLENCE,40.791685,-73.97077,"154 W 93RD ST NEW YORK, NY 10025",NEW YORK,10025,2%,51%,38%,88%,7%
P.S. 125 RALPH BUNCHE,40.81064,-73.955847,"425 W 123RD ST NEW YORK, NY 10027",NEW YORK,10027,6%,43%,42%,85%,7%
SOUTH BRONX ACADEMY FOR APPLIED MEDIA,40.818906,-73.905333,"778 FOREST AVE BRONX, NY 10456",BRONX,10456,1%,34%,63%,97%,1%
I.S. 229 ROLAND PATTERSON,40.841563,-73.929604,"275 HARLEM RIVER PARK BRIDGE BRONX, NY 10453",BRONX,10453,1%,35%,63%,98%,1%
NEW MILLENNIUM BUSINESS ACADEMY MIDDLE SCHOOL,40.827748,-73.913773,"1000 TELLER AVE BRONX, NY 10456",BRONX,10456,1%,33%,65%,98%,0%
SHERIDAN ACADEMY FOR YOUNG LEADERS,40.832033,-73.917519,"1116 SHERIDAN AVE BRONX, NY 10456",BRONX,10456,1%,30%,67%,97%,1%
P.S. 059 THE COMMUNITY SCHOOL OF TECHNOLOGY,40.85306,-73.893421,"2185 BATHGATE AVE BRONX, NY 10457",BRONX,10457,1%,27%,68%,96%,1%
J.H.S. 080 THE MOSHOLU PARKWAY,40.876823,-73.88124,"149 E MOSHOLU PKWY BRONX, NY 10467",BRONX,10467,13%,13%,67%,81%,5%
P.S. 067 MOHEGAN SCHOOL,40.843884,-73.884317,"2024 MOHEGAN AVE BRONX, NY 10460",BRONX,10460,1%,25%,74%,99%,0%
SCHOOL OF PERFORMING ARTS,40.822084,-73.894038,"977 FOX ST BRONX, NY 10459",BRONX,10459,3%,28%,67%,96%,1%
"I.S. X318 MATH, SCIENCE & TECHNOLOGY THROUGH ARTS",40.84385,-73.890063,"1919 PROSPECT AVE BRONX, NY 10457",BRONX,10457,1%,27%,70%,97%,2%
P.S./I.S. 323,40.666247,-73.91127,"210 CHESTER ST BROOKLYN, NY 11212",BROOKLYN,11212,1%,78%,20%,98%,0%
P.S./I.S. 116 WILLIAM C. HUGHLEY,40.70076,-73.781916,"107-25 WREN PL JAMAICA, NY 11433",JAMAICA,11433,5%,60%,32%,92%,2%
P.S. 188 THE ISLAND SCHOOL,40.71987,-73.977376,"442 E HOUSTON ST NEW YORK, NY 10002",NEW YORK,10002,2%,30%,64%,93%,4%
P.S. 149 SOJOURNER TRUTH,40.802666,-73.948256,"41 W 117TH ST NEW YORK, NY 10026",NEW YORK,10026,3%,64%,27%,92%,2%
P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,40.806174,-73.948335,"134 W 122ND ST NEW YORK, NY 10027",NEW YORK,10027,1%,65%,29%,94%,2%
P.S. 096 JOSEPH LANZETTA,40.799987,-73.937388,"216 E 120TH ST NEW YORK, NY 10035",NEW YORK,10035,2%,26%,68%,94%,3%
P.S. 092 MARY MCLEOD BETHUNE,40.814949,-73.945808,"222 W 134TH ST NEW YORK, NY 10030",NEW YORK,10030,1%,61%,34%,95%,3%
P.S. 161 JUAN PONCE DE LEON SCHOOL,40.814507,-73.905159,"628 TINTON AVE BRONX, NY 10455",BRONX,10455,1%,23%,73%,96%,2%
ACADEMY OF PUBLIC RELATIONS,40.818906,-73.905333,"778 FOREST AVE BRONX, NY 10456",BRONX,10456,0%,26%,72%,98%,1%
P.S. 042 CLAREMONT,40.838559,-73.903026,"1537 WASHINGTON AVE BRONX, NY 10456",BRONX,10456,0%,41%,56%,97%,2%
P.S. 070 MAX SCHOENFELD,40.844394,-73.908023,"1691 WEEKS AVE BRONX, NY 10457",BRONX,10457,1%,25%,74%,98%,1%
P.S. 3 RAUL JULIA MICRO SOCIETY,40.850163,-73.891656,"2100 LAFONTAINE AVE BRONX, NY 10457",BRONX,10457,2%,29%,68%,97%,0%
P.S. 016 WAKEFIELD,40.90237,-73.854546,"4550 CARPENTER AVE BRONX, NY 10470",BRONX,10470,4%,58%,28%,86%,2%
P.S. 134 GEORGE F. BRISTOW,40.831595,-73.894227,"1330 BRISTOW ST BRONX, NY 10459",BRONX,10459,1%,46%,50%,96%,2%
FREDERICK DOUGLASS ACADEMY V. MIDDLE SCHOOL,40.848711,-73.888912,"2111 CROTONA AVE BRONX, NY 10457",BRONX,10457,1%,30%,67%,97%,1%
EMOLIOR ACADEMY,40.839183,-73.88028,"1970 W FARMS RD BRONX, NY 10460",BRONX,10460,4%,25%,64%,89%,2%
